date,y2,y5,y10,y30,2s5s_spread,2s5s_z,5s10s_spread,5s10s_z,10s30s_spread,10s30s_z
1979-09-06,11.600637,11.526459,11.803548,,-7.417877,-0.927729,27.708911,0.371761,,
1979-09-07,11.709452,11.542298,11.776339,,-16.715408,-1.344028,23.404171,-0.010347,,
1979-09-10,11.691047,11.540812,11.821836,,-15.023468,-1.219014,28.102345,0.382402,,
1979-09-11,11.768429,11.580882,11.833957,,-18.754735,-1.348981,25.307491,0.135741,,
1979-09-12,11.946885,11.686334,11.893275,,-26.055078,-1.635896,20.694084,-0.246252,,
1979-09-13,11.911028,11.683418,11.891640,,-22.761001,-1.427869,20.822194,-0.209521,,
1979-09-14,12.035802,11.753247,11.914492,,-28.255524,-1.643140,16.124551,-0.610479,,
1979-09-17,12.152327,11.890618,12.091516,,-26.170931,-1.493789,20.089836,-0.205244,,
1979-09-18,12.051234,11.818599,12.029326,,-23.263586,-1.313572,21.072735,-0.083352,,
1979-09-19,12.059063,11.808160,11.958420,,-25.090317,-1.359683,15.026055,-0.662858,,
1979-09-20,12.061826,11.833771,12.030531,,-22.805560,-1.222609,19.676007,-0.160084,,
1979-09-21,11.872534,11.741503,11.972969,,-13.103158,-0.731074,23.146604,0.242116,,
1979-09-24,11.943348,11.816447,12.003410,,-12.690136,-0.693240,18.696290,-0.212341,,
1979-09-25,11.890750,11.782400,11.995022,,-10.834985,-0.569580,21.262191,0.072341,,
1979-09-26,11.886590,11.725553,11.907879,,-16.103672,-0.852432,18.232559,-0.243014,,
1979-09-27,11.830404,11.700019,11.894745,,-13.038448,-0.659038,19.472556,-0.088345,,
1979-09-28,11.856392,11.707159,11.864341,,-14.923320,-0.754480,15.718171,-0.521531,,
1979-10-01,11.861867,11.717606,11.877105,,-14.426146,-0.699455,15.949902,-0.511715,,
1979-10-02,11.968865,11.774012,11.941012,,-19.485232,-1.024898,16.699986,-0.432683,,
1979-10-03,11.818374,11.715146,11.913908,,-10.322856,-0.356724,19.876285,-0.071250,,
1979-10-04,11.809609,11.718205,11.925452,,-9.140394,-0.236146,20.724634,0.024362,,
1979-10-05,11.797090,11.701743,11.927321,,-9.534714,-0.232455,22.557811,0.223728,,
1979-10-08,12.004139,11.821829,12.011830,,-18.231000,-0.948339,19.000125,-0.207452,,
1979-10-09,12.148318,11.912406,12.099523,,-23.591271,-1.404060,18.711745,-0.240649,,
1979-10-10,12.484356,12.102124,12.252560,,-38.223263,-2.751427,15.043608,-0.663199,,
1979-10-11,12.298922,12.011766,12.227116,,-28.715632,-1.791673,21.535021,0.089670,,
1979-10-12,12.219705,11.951427,12.129401,,-26.827793,-1.612169,17.797354,-0.355666,,
1979-10-15,12.456866,12.303238,12.273925,,-15.362883,-0.433993,-2.931228,-2.864204,,
1979-10-16,12.311117,12.262784,12.344772,,-4.833285,0.645469,8.198818,-1.517783,,
1979-10-17,12.135834,12.166969,12.283291,,3.113545,1.512859,11.632201,-1.145090,,
1979-10-18,12.076978,12.155703,12.284625,,7.872481,2.020664,12.892254,-1.036329,,
1979-10-19,12.284076,12.312338,12.405937,,2.826127,1.461172,9.359948,-1.496613,,
1979-10-22,12.436020,12.443532,12.495665,,0.751182,1.221640,5.213389,-2.027282,,
1979-10-23,12.491106,12.446798,12.503452,,-4.430817,0.685570,5.665391,-1.901686,,
1979-10-24,12.899425,12.749678,12.789152,,-14.974718,-0.372218,3.947488,-2.028978,,
1979-10-25,13.134245,12.802459,12.675670,,-33.178632,-2.189809,-12.678902,-3.850095,,
1979-10-26,13.216484,12.900281,12.696689,,-31.620345,-1.917848,-20.359150,-4.210458,,
1979-10-29,12.855765,12.722205,12.617312,,-13.355976,-0.089394,-10.489383,-2.743277,,
1979-10-30,12.953341,12.763340,12.631458,,-19.000041,-0.617253,-13.188208,-2.771845,,
1979-10-31,12.794189,12.708277,12.610879,,-8.591219,0.465307,-9.739790,-2.285034,,
1979-11-01,12.749231,12.714302,12.619389,,-3.492925,1.057359,-9.491293,-2.133112,,
1979-11-02,13.046426,12.976068,12.743982,,-7.035777,0.668987,-23.208580,-3.049300,,
1979-11-05,13.196565,13.143316,12.817886,,-5.324817,0.858451,-32.543004,-3.469497,,
1979-11-06,13.407281,13.369286,12.995460,,-3.799464,1.027936,-37.382651,-3.460692,,
1979-11-07,13.741404,13.685708,13.212520,,-5.569608,0.837972,-47.318849,-3.738595,,
1979-11-08,13.797182,13.804247,13.347743,,0.706574,1.502878,-45.650433,-3.248980,,
1979-11-09,13.940459,13.971469,13.516728,,3.100964,1.736747,-45.474030,-2.991541,,
1979-11-12,14.024569,14.044763,13.591715,,2.019385,1.557736,-45.304792,-2.762269,,
1979-11-13,13.871875,13.914177,13.360044,,4.230126,1.729370,-55.413239,-3.041441,,
1979-11-14,14.299077,14.248100,13.576862,,-5.097737,0.744621,-67.123758,-3.303453,,
1979-11-15,14.687557,14.680224,14.099289,,-0.733369,1.171763,-58.093450,-2.624171,,
1979-11-16,14.345285,14.441332,13.693063,,9.604681,2.163806,-74.826891,-3.102503,,
1979-11-19,13.980870,14.155250,13.448096,,17.437995,2.791433,-70.715448,-2.683105,,
1979-11-20,14.290886,14.359839,13.577822,,6.895321,1.663986,-78.201746,-2.752029,,
1979-11-21,14.377813,14.467182,13.663570,,8.936865,1.781022,-80.361157,-2.620729,,
1979-11-22,14.458835,14.559709,13.659704,,10.087394,1.809458,-90.000444,-2.742419,,
1979-11-23,14.354320,14.495010,13.629719,,14.068998,2.057575,-86.529101,-2.437842,,
1979-11-26,14.592132,14.697397,13.805248,,10.526528,1.669249,-89.214948,-2.360080,,
1979-11-27,14.437526,14.570398,13.684424,,13.287199,1.816562,-88.597384,-2.201140,,
1979-11-28,14.337950,14.559611,13.691646,,22.166045,2.419650,-86.796470,-2.034733,,
1979-11-29,14.234955,14.512686,13.712415,,27.773062,2.682018,-80.027058,-1.762488,,
1979-11-30,14.325627,14.538324,13.713518,,21.269642,2.048103,-82.480594,-1.750361,,
1979-12-03,14.209649,14.521979,13.846618,,31.232975,2.606201,-67.536123,-1.305468,,
1979-12-04,14.319860,14.550882,13.812222,,23.102168,1.912856,-73.866025,-1.417366,,
1979-12-05,14.468503,14.610847,13.829949,,14.234375,1.276510,-78.089741,-1.470487,,
1979-12-06,14.635265,14.675517,13.913101,,4.025167,0.605722,-76.241619,-1.371369,,
1979-12-07,14.716850,14.895605,14.186738,,17.875510,1.440501,-70.886713,-1.193697,,
1979-12-10,14.910806,14.935076,14.216779,,2.426999,0.435593,-71.829736,-1.176194,,
1979-12-11,14.551391,14.644261,14.021835,,9.287022,0.843396,-62.242647,-0.907145,,
1979-12-12,14.471699,14.543614,13.925809,,7.191445,0.682130,-61.780486,-0.865947,,
1979-12-13,14.368698,14.404044,13.841509,,3.534576,0.421663,-56.253489,-0.703694,,
1979-12-14,14.065388,14.397617,14.040396,,33.222903,2.327139,-35.722129,-0.178960,,
1979-12-17,14.090954,14.361751,14.026606,,27.079711,1.805897,-33.514500,-0.102835,,
1979-12-18,14.213108,14.459900,14.124728,,24.679160,1.578830,-33.517163,-0.082461,,
1979-12-19,14.018889,14.285914,14.050883,,26.702559,1.637860,-23.503097,0.192764,,
1979-12-20,14.003576,14.274538,14.055699,,27.096223,1.595794,-21.883889,0.254667,,
